MB_urchin,MB_echin,MB_Molls,SPC,RC_IND_2018,KW_Jap,RMI_bik_02_03,RMI_jp_10,RMI_09_10,RMI_ail,RMI_Ailk_06,LTO,RLS,RC_EST,RC_IND,RC_ATL,RC_HAW,RC_RED,RC_ARB,NOAA_PR_1999_2003,NOAA_PR_2004_2013,NOAA_PR_2013_2018,NOAA_MMT,NOAA_NA11,CCC_P,ECOT,NOAA_Fen_08,CCC_C,CCC_M
,,,Dardanus sp.,,Tridacna squamosa,,,,,,,,,,,,,,,,,,,,,,,
,,,Dendropoma maximum,,Trochus histrio,,,,,,,,,,,,,,,,,,,,,,,
,,,Diadema sp.,,Trochus maculatus,,,,,,,,,,,,,,,,,,,,,,,
,,,Distorsio anus,,Turridrupa bijubata,,,,,,,,,,,,,,,,,,,,,,,
,,,Dolabella auricularia,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dolabella sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupa morum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupa ricinus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupa rubusidaeus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupa sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupella cornus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drupella sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinodiscus bisperforatus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinometra mathaei,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinometra oblonga,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinometra sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinostrephus sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinothrix calamaris,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinothrix diadema,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Echinothrix sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Entacmaea quadricolor,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eriphia sebana,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Etisus splendidus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Euapta sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eucidaris sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fragum fragum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fragum unedo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fromia sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gafrarium pectinatum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gafrarium tumidum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gonodactylus sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grapsus albolineatus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grapsus grapsus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Haliotis asinina,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Haliotis sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Heteractis aurora,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Heteractis sp.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Heterocentrotus mammillatus,,,,,,,,,,,,,,,,,,,,,,,,,
